Korean,Mathmatics,English,Art
30,67,71,90
82,84,41,73
39,54,40,94
38,55,40,40
33,68,96,33
73,83,93,33
49,98,75,55
56,95,61,44
30,46,50,63
89,66,42,68
64,91,58,50
46,35,62,43
99,32,51,100
59,70,35,91
41,91,76,47
41,80,36,60
85,58,61,67
50,85,35,37
37,87,54,88
87,57,69,63
99,62,62,95
94,63,85,74
100,57,87,30
46,54,86,65
62,42,61,58
51,88,56,30
39,97,66,45
62,53,65,62
73,99,90,33
74,96,42,83
100,62,60,67
83,69,99,46
97,99,93,68
66,53,90,47
32,72,66,31
64,85,50,92
44,53,51,32
72,49,60,94
37,40,98,64
39,42,74,46
84,53,99,80
73,95,68,58
45,48,46,91
42,37,61,90
78,98,84,96
33,87,42,80
88,40,93,72
63,55,32,94
97,98,74,71
93,31,54,90
69,41,79,81
82,79,79,86
99,43,77,79
99,83,96,77
97,33,68,97
55,99,47,64
58,76,63,55
45,60,46,44
34,87,63,98
84,50,48,40
41,40,85,50
56,55,86,76
100,67,42,90
63,94,99,37
50,73,34,37
70,62,98,51
75,34,30,93
55,44,46,39
68,77,62,40
83,78,90,37
74,36,93,61
30,91,30,63
61,73,95,99
61,43,98,40
63,63,48,81
42,35,77,40
44,99,86,57
39,36,100,51
32,90,80,86
43,78,95,59
46,80,95,46
57,45,47,78
53,88,50,65
77,31,76,97
70,76,55,71
80,35,76,34
62,65,90,70
94,35,40,45
91,74,68,50
